id,hindi,english
1,वाह!,Wow!
2,झुको!,Duck!
3,बतख़!,Duck!
4,बचाओ!,Help!
5,उछलो.,Jump.
6,कूदो.,Jump.
7,छलांग.,Jump.
8,नमस्ते।,Hello!
9,नमस्कार।,Hello!
10,वाह-वाह!,Cheers!
11,चियर्स!,Cheers!
12,सांस छोड़।,Exhale.
13,सांस छोड़ो।,Exhale.
14,समझे कि नहीं?,Got it?
15,मैं ठीक हूँ।,I'm OK.
16,सांस ले।,Inhale.
17,सांस लो।,Inhale.
18,धन्यवाद!,Thanks!
19,हम जीते।,We won.
20,बहुत बढ़िया!,Awesome!
21,अंदर आ जाओ।,Come in.
22,बाहर निकल जाओ!,Get out!
23,चले जाओ!,Go away!
24,ख़ुदा हाफ़िज़।,Goodbye!
25,उत्तम!,Perfect!
26,सही!,Perfect!
27,हम हार गए।,We lost.
28,आपका स्वागत है।,Welcome.
29,स्वागतम्।,Welcome.
30,मज़े करना।,Have fun.
31,मौज करना।,Have fun.
32,मज़े करो।,Have fun.
33,मैं भूल गया।,I forgot.
34,मैं भूल गई।,I forgot.
35,मैं पैसे दूंगा।,I'll pay.
36,मैं ठीक हूँ।,I'm fine.
37,मेरा पेट भर गया है।,I'm full.
38,चलो चलें!,Let's go!
39,टॉम उठाओ।,Pick Tom.
40,मुझे जवाब दो।,Answer me.
41,पंछी उड़ते हैं।,Birds fly.
42,माफ़ कीजिए।,Excuse me.
43,बहुत ख़ूब!,Fantastic!
44,मैं बेहोश हो गया।,I fainted.
45,"खेद की बात है, लेकिन वैसा ही है।",I fear so.
46,मैं हँसा।,I laughed.
47,मैं अकेला हूँ ।,I'm alone.
48,मैं अकेली हूँ ।,I'm alone.
49,मैं बोर हो रहा हूँ।,I'm bored.
50,मेरा दीवालिया हो चुका है।,I'm broke.
51,मैं थक गया हूँ।,I'm tired.
52,ठंड हो रही है।,It's cold.
53,शाबाश!,Well done!
54,कौन जाने?,Who knows?
55,किसको पता है?,Who knows?
56,किसे पता है?,Who knows?
57,किसे मालूम है?,Who knows?
58,अद्भुत,Wonderful!
59,पंछी गाते हैं।,Birds sing.
60,अंदर आ जाओ।,Come on in.
61,निश्चित ही,Definitely!
62,हिलो मत।,Don't move.
63,आग जलाती है।,Fire burns.
64,उसका पीछा करो।,Follow him.
65,मुझे तैरना आता है।,I can swim.
66,मैं तैर सकता हूँ।,I can swim.
67,मैं तुमसे प्यार करती हूँ।,I love you.
68,मैं तुमसे प्यार करता हूँ।,I love you.
69,मैं आपसे प्यार करता हूँ।,I love you.
70,मैं आपसे प्यार करती हूँ।,I love you.
71,मुझे तुमसे प्यार है।,I love you.
72,मैं आ रहा हूँ।,I'm coming.
73,मुझे भूख लगी है!,I'm hungry!
74,मुझे भूख लगी है।,I'm hungry!
75,उसे अंदर भेजो।,Let him in.
76,उसे अंदर आने दो।,Let him in.
77,मुझे बाहर जाने दो!,Let me out!
78,और एक बार।,Once again.
79,बैठिए।,Please sit.
80,हास्यस्पद!,Ridiculous!
81,हास्यास्पद!,Ridiculous!
82,बेतुका!,Ridiculous!
83,शाबाश!,That a boy!
84,टॉम मुस्कुराया।,Tom smiled.
85,टॉम ने उबासी ली ।,Tom yawned.
86,क्या नया है?,What's new?
87,नया क्या है?,What's new?
88,वह कौन है?,Who's that?
89,चिल्लाओ मत!,Don't shout.
90,चिल्लाईए मत।,Don't shout.
91,वह खड़ा हो गया।,He stood up.
92,वह ताकतवर है।,He's strong.
93,आप कैसे हैं?,How are you?
94,तुम कैसे हो?,How are you?
95,तुम कैसी हो?,How are you?
96,तू कैसा है?,How are you?
97,तू कैसी है?,How are you?
98,आप कैसी हैं?,How are you?
99,आप कैसे हो?,How are you?
100,कैसे हो?,How are you?
101,मुझे दोनो पसंद हैं।,I like both.
102,मुझे केक अच्छा लगता है।,I like cake.
103,मुझे कुत्ते अच्छे लगते हैं।,I like dogs.
104,मुझे गणित पसंद है।,I like math.
105,मैं आऊंगा।,I'll attend.
106,कोई नहीं आया।,Nobody came.
107,किसी ने झूठ नहीं बोला।,Nobody lied.
108,इसे नीचे रख दो।,Put it down.
109,क्या मैं ग़लत था?,Was I wrong?
110,हमने वादा किया।,We promised.
111,यह क्या है?,What's this?
112,क्या तुम बीमार हो?,Are you sick?
113,उसको अंदर ले आओ।,Bring him in.
114,हमारे साथ आओ।,Come with us.
115,एसटर मुबारक हो!,Happy Easter!
116,टॉम चला गया क्या?,Has Tom left?
117,मैं घर पर हूँ।,I am at home.
118,मैं हिल नहीं सकता।,I can't move.
119,मुझे नहीं पता।,I don't know.
120,मुझे नहीं मालूम।,I don't know.
121,मेरे पास एक गाड़ी है।,I have a car.
122,मेरे पास एक कुत्ता है।,I have a dog.
123,मैं समझता हूँ।,I understand.
124,मैं डॉक्टर हूँ।,I'm a doctor.
125,यह किताब है।,It is a book.
126,बरफ़ गिर रही है।,It's snowing.
127,बहुत ज़्यादा बड़ा है।,It's too big.
128,कृपया जाईये।,Please leave.
129,अविश्वसनीय!,Unbelievable!
130,हम खुश हैं।,We are happy.
131,यह क्या है?,What is this?
132,थक गए हो क्या?,Are you tired?
133,तुम गाड़ी चला सकते हो क्या?,Can you drive?
134,क्या तुम्हें समझ में आया ?,Do you get it?
135,मोटे मत हो जाना।,Don't get fat.
136,हार मत मान लो।,Don't give in.
137,पीकर खतम करदो।,Drink it down.
138,मौत तो सभी की होती है।,Everyone dies.
139,फूल खिलते हैं।,Flowers bloom.
140,मैं हूँ जो हूँ।,I am who I am.
141,मुझे चीजों के बारे में पता है ।,I know things.
142,मुझे डॉनत पसंद है।,I like donuts.
143,मैं उसे लेलूँगा।,I'll take him.
144,मैं अब थक गया हूँ।,I'm tired now.
145,मैं बहुत व्यस्त हूँ।,I'm very busy.
146,वह बिल्ली है क्या?,Is that a cat?
147,यह मुफ़्त है।,It's for free.
148,यह मुफ़्त का है।,It's for free.
149,मुझे दिखाओ।,Let me try it.
150,मुझे देखने दो।,Let me try it.
151,मुझे ट्राए करने दो।,Let me try it.
152,चलो करते हैं।,Let's do that.
153,जल्दी कीजिए।,Make it quick.
154,मैं अंदर आ सकता हूँ क्या?,May I come in?
155,दरवाज़ा खोलो।,Open the door.
156,दरवाज़ा खोलिए।,Open the door.
157,कृपया अंदर आईए।,Please get in.
158,इसे दोबारा पढ़ें।,Read it again.
159,पढ़के सुनाओ।,Read it aloud.
160,वह नीचे झुकी।,She bent down.
161,कुछ मछलियाँ उड़ सकतीं हैं।,Some fish fly.
162,वह हमारा था।,That was ours.
163,यह नक्शा है।,This is a map.
164,टॉम मेरा लड़का है।,Tom is my son.
165,हम शहर में हैं।,We're in town.
166,क्या तुम्हें गोली लग गई थी?,Were you shot?
167,हमारा क्या?,What about us?
168,क्या मैं आपकी सहायता कर सकता हूँ?,Can I help you?
169,क्या मैं आपकी मदद कर सकता हूँ?,Can I help you?
170,कमरे को साफ़ करो।,Clean the room.
171,उसे छूना मत।,Don't touch it.
